S,n_triads,N_pairs,N_classes,N_primitive_classes,cum_pairs,cum_classes,cum_primitive_classes
10,1,0,0,0,0,0,0
11,3,0,0,0,0,0,0
12,6,0,0,0,0,0,0
13,7,0,0,0,0,0,0
14,9,0,0,0,0,0,0
15,11,0,0,0,0,0,0
16,13,0,0,0,0,0,0
17,15,0,0,0,0,0,0
18,18,1,1,1,1,1,1
19,20,0,0,0,1,1,1
20,23,1,1,1,2,2,2
21,26,0,0,0,2,2,2
22,29,0,0,0,2,2,2
23,32,0,0,0,2,2,2
24,36,0,0,0,2,2,2
25,39,0,0,0,2,2,2
26,43,1,1,1,3,3,3
27,47,0,0,0,3,3,3
28,51,0,0,0,3,3,3
29,55,0,0,0,3,3,3
30,60,0,0,0,3,3,3
31,64,1,1,1,4,4,4
32,69,1,1,1,5,5,5
33,74,0,0,0,5,5,5
34,79,1,1,1,6,6,6
35,84,1,1,1,7,7,7
36,90,2,2,1,9,9,8
37,95,1,1,1,10,10,9
38,101,1,1,1,11,11,10
39,107,1,1,1,12,12,11
40,113,1,1,0,13,13,11
41,119,0,0,0,13,13,11
42,126,1,1,1,14,14,12
43,132,1,1,1,15,15,13
44,139,0,0,0,15,15,13
45,146,1,1,1,16,16,14
46,153,0,0,0,16,16,14
47,160,0,0,0,16,16,14
48,168,0,0,0,16,16,14
49,175,0,0,0,16,16,14
50,183,0,0,0,16,16,14
51,191,0,0,0,16,16,14
52,199,1,1,0,17,17,14
53,207,2,2,2,19,19,16
54,216,1,1,0,20,20,16
55,224,1,1,1,21,21,17
56,233,1,1,1,22,22,18
57,242,1,1,1,23,23,19
58,251,1,1,1,24,24,20
59,260,0,0,0,24,24,20
60,270,1,1,0,25,25,20
61,279,2,2,2,27,27,22
62,289,3,3,2,30,30,24
63,299,1,1,1,31,31,25
64,309,3,3,2,34,34,27
65,319,0,0,0,34,34,27
66,330,1,1,1,35,35,28
67,340,0,0,0,35,35,28
68,351,1,1,0,36,36,28
69,362,1,1,1,37,37,29
70,373,2,2,1,39,39,30
71,384,1,1,1,40,40,31
72,396,2,2,0,42,42,31
73,407,2,2,2,44,44,33
74,419,2,2,1,46,46,34
75,431,1,1,1,47,47,35
76,443,1,1,0,48,48,35
77,455,1,1,1,49,49,36
78,468,3,3,1,52,52,37
79,480,1,1,1,53,53,38
80,493,1,1,0,54,54,38
81,506,0,0,0,54,54,38
82,519,1,1,1,55,55,39
83,532,1,1,1,56,56,40
84,546,3,3,2,59,59,42
85,559,1,1,1,60,60,43
86,573,4,4,3,64,64,46
87,587,2,2,2,66,66,48
88,601,2,2,2,68,68,50
89,615,2,2,2,70,70,52
90,630,4,4,2,74,74,54
91,644,1,1,1,75,75,55
92,659,2,2,2,77,77,57
93,674,2,2,1,79,79,58
94,689,3,3,3,82,82,61
95,704,1,1,1,83,83,62
96,720,1,1,0,84,84,62
97,735,3,3,3,87,87,65
98,751,4,4,4,91,91,69
99,767,0,0,0,91,91,69
100,783,1,1,0,92,92,69
101,799,1,1,1,93,93,70
102,816,1,1,0,94,94,70
103,832,1,1,1,95,95,71
104,849,2,2,1,97,97,72
105,866,2,2,1,99,99,73
106,883,2,2,0,101,101,73
107,900,3,3,3,104,104,76
108,918,2,2,0,106,106,76
109,935,2,2,2,108,108,78
110,953,2,2,1,110,110,79
111,971,1,1,0,111,111,79
112,989,2,2,1,113,113,80
113,1007,1,1,1,114,114,81
114,1026,3,3,1,117,117,82
115,1044,0,0,0,117,117,82
116,1063,2,2,1,119,119,83
117,1082,4,4,3,123,123,86
118,1101,1,1,1,124,124,87
119,1120,0,0,0,124,124,87
120,1140,2,2,1,126,126,88
121,1159,1,1,1,127,127,89
122,1179,3,3,1,130,130,90
123,1199,0,0,0,130,130,90
124,1219,4,4,1,134,134,91
125,1239,0,0,0,134,134,91
126,1260,5,5,2,139,139,93
127,1280,1,1,1,140,140,94
128,1301,4,4,1,144,144,95
129,1322,1,1,0,145,145,95
130,1343,4,4,3,149,149,98
131,1364,2,2,2,151,151,100
132,1386,4,4,3,155,155,103
133,1407,2,2,2,157,157,105
134,1429,1,1,1,158,158,106
135,1451,3,3,2,161,161,108
136,1473,7,5,4,168,166,112
137,1495,2,2,2,170,168,114
138,1518,3,3,2,173,171,116
139,1540,5,5,5,178,176,121
140,1563,4,4,1,182,180,122
141,1586,1,1,1,183,181,123
142,1609,3,3,2,186,184,125
143,1632,6,4,4,192,188,129
144,1656,2,2,0,194,190,129
145,1679,1,1,1,195,191,130
146,1703,4,4,2,199,195,132
147,1727,5,5,5,204,200,137
148,1751,3,3,1,207,203,138
149,1775,1,1,1,208,204,139
150,1800,1,1,0,209,205,139
151,1824,1,1,1,210,206,140
152,1849,3,3,2,213,209,142
153,1874,1,1,1,214,210,143
154,1899,2,2,1,216,212,144
155,1924,2,2,1,218,214,145
156,1950,6,6,3,224,220,148
157,1975,5,5,5,229,225,153
158,2001,4,4,3,233,229,156
159,2027,2,2,0,235,231,156
160,2053,2,2,0,237,233,156
161,2079,2,2,2,239,235,158
162,2106,2,2,1,241,237,159
163,2132,1,1,1,242,238,160
164,2159,1,1,0,243,239,160
165,2186,3,3,2,246,242,162
166,2213,3,3,2,249,245,164
167,2240,1,1,1,250,246,165
168,2268,4,4,0,254,250,165
169,2295,3,3,3,257,253,168
170,2323,5,5,3,262,258,171
171,2351,3,3,2,265,261,173
172,2379,5,5,1,270,266,174
173,2407,0,0,0,270,266,174
174,2436,3,3,0,273,269,174
175,2464,4,4,3,277,273,177
176,2493,6,6,4,283,279,181
177,2522,3,3,3,286,282,184
178,2551,3,3,1,289,285,185
179,2580,1,1,1,290,286,186
180,2610,9,9,3,299,295,189
181,2639,2,2,2,301,297,191
182,2669,8,8,6,309,305,197
183,2699,6,6,4,315,311,201
184,2729,5,5,3,320,316,204
185,2759,4,4,3,324,320,207
186,2790,7,7,3,331,327,210
187,2820,5,3,3,336,330,213
188,2851,5,5,2,341,335,215
189,2882,6,6,5,347,341,220
190,2913,5,5,3,352,346,223
191,2944,4,4,4,356,350,227
192,2976,3,3,0,359,353,227
193,3007,3,3,3,362,356,230
194,3039,4,4,1,366,360,231
195,3071,3,3,2,369,363,233
196,3103,7,7,3,376,370,236
197,3135,2,2,2,378,372,238
198,3168,3,3,1,381,375,239
199,3200,0,0,0,381,375,239
200,3233,5,5,4,386,380,243
201,3266,4,4,4,390,384,247
202,3299,2,2,1,392,386,248
203,3332,0,0,0,392,386,248
204,3366,5,5,4,397,391,252
205,3399,2,2,2,399,393,254
206,3433,3,3,2,402,396,256
207,3467,3,3,2,405,399,258
208,3501,4,4,2,409,403,260
209,3535,5,3,3,414,406,263
210,3570,7,7,3,421,413,266
