S,R_num,R_den,multiplicity,pair_count,primitive,content,base_sum,triples
18,3,4,2,1,primitive,1,18,"(2,8,8) ; (3,3,12)"
20,1,2,2,1,primitive,1,20,"(4,8,8) ; (5,5,10)"
26,13,30,2,1,primitive,1,26,"(4,10,12) ; (5,6,15)"
31,5,12,2,1,primitive,1,31,"(4,9,18) ; (5,6,20)"
32,11,28,2,1,primitive,1,32,"(4,14,14) ; (5,7,20)"
34,13,42,2,1,primitive,1,34,"(6,14,14) ; (7,9,18)"
35,1,3,2,1,primitive,1,35,"(5,15,15) ; (7,7,21)"
36,3,10,2,1,primitive,1,36,"(6,15,15) ; (8,8,20)"
36,3,8,2,1,scaled,2,18,"(4,16,16) ; (6,6,24)"
37,37,60,2,1,primitive,1,37,"(2,15,20) ; (3,4,30)"
38,19,42,2,1,primitive,1,38,"(3,14,21) ; (4,6,28)"
39,17,63,2,1,primitive,1,39,"(7,14,18) ; (9,9,21)"
40,1,4,2,1,scaled,2,20,"(8,16,16) ; (10,10,20)"
42,7,30,2,1,primitive,1,42,"(9,15,18) ; (10,12,20)"
43,43,120,2,1,primitive,1,43,"(4,15,24) ; (5,8,30)"
45,3,7,2,1,primitive,1,45,"(3,21,21) ; (5,5,35)"
52,13,60,2,1,scaled,2,26,"(8,20,24) ; (10,12,30)"
53,7,20,2,1,primitive,1,53,"(4,14,35) ; (5,8,40)"
53,5,12,2,1,primitive,1,53,"(3,20,30) ; (4,7,42)"
54,1,4,2,1,scaled,3,18,"(6,24,24) ; (9,9,36)"
55,8,35,2,1,primitive,1,55,"(7,20,28) ; (10,10,35)"
56,1,6,2,1,primitive,1,56,"(14,21,21) ; (16,16,24)"
57,47,180,2,1,primitive,1,57,"(6,15,36) ; (8,9,40)"
58,19,90,2,1,primitive,1,58,"(9,14,35) ; (10,12,36)"
60,1,6,2,1,scaled,3,20,"(12,24,24) ; (15,15,30)"
61,22,117,2,1,primitive,1,61,"(9,26,26) ; (12,13,36)"
61,29,105,2,1,primitive,1,61,"(5,21,35) ; (7,9,45)"
62,23,130,2,1,primitive,1,62,"(10,26,26) ; (13,14,35)"
62,5,24,2,1,scaled,2,31,"(8,18,36) ; (10,12,40)"
62,31,140,2,1,primitive,1,62,"(7,20,35) ; (8,14,40)"
63,21,88,2,1,primitive,1,63,"(6,24,33) ; (8,11,44)"
64,11,56,2,1,scaled,2,32,"(8,28,28) ; (10,14,40)"
64,73,360,2,1,primitive,1,64,"(8,20,36) ; (9,15,40)"
64,7,30,2,1,primitive,1,64,"(7,15,42) ; (9,10,45)"
66,1,6,2,1,primitive,1,66,"(11,22,33) ; (12,18,36)"
68,13,84,2,1,scaled,2,34,"(12,28,28) ; (14,18,36)"
69,3,20,2,1,primitive,1,69,"(14,20,35) ; (15,18,36)"
70,1,6,2,1,scaled,2,35,"(10,30,30) ; (14,14,42)"
70,7,22,2,1,primitive,1,70,"(4,22,44) ; (5,10,55)"
71,59,220,2,1,primitive,1,71,"(5,22,44) ; (8,8,55)"
72,3,20,2,1,scaled,2,36,"(12,30,30) ; (16,16,40)"
72,3,16,2,1,scaled,4,18,"(8,32,32) ; (12,12,48)"
73,8,45,2,1,primitive,1,73,"(9,24,40) ; (10,18,45)"
73,73,280,2,1,primitive,1,73,"(5,28,40) ; (7,10,56)"
74,11,60,2,1,primitive,1,74,"(9,20,45) ; (10,16,48)"
74,37,120,2,1,scaled,2,37,"(4,30,40) ; (6,8,60)"
75,31,180,2,1,primitive,1,75,"(9,30,36) ; (10,20,45)"
76,19,84,2,1,scaled,2,38,"(6,28,42) ; (8,12,56)"
77,1,5,2,1,primitive,1,77,"(7,35,35) ; (11,11,55)"
78,17,126,2,1,scaled,2,39,"(14,28,36) ; (18,18,42)"
78,29,210,2,1,primitive,1,78,"(14,24,40) ; (15,21,42)"
78,13,90,2,1,scaled,3,26,"(12,30,36) ; (15,18,45)"
79,2,15,2,1,primitive,1,79,"(14,30,35) ; (15,24,40)"
80,1,8,2,1,scaled,4,20,"(16,32,32) ; (20,20,40)"
82,25,126,2,1,primitive,1,82,"(7,30,45) ; (8,18,56)"
83,26,133,2,1,primitive,1,83,"(7,38,38) ; (8,19,56)"
84,7,60,2,1,scaled,2,42,"(18,30,36) ; (20,24,40)"
84,3,10,2,1,primitive,1,84,"(4,40,40) ; (7,7,70)"
84,7,18,2,1,primitive,1,84,"(3,27,54) ; (4,8,72)"
85,11,35,2,1,primitive,1,85,"(4,21,60) ; (5,10,70)"
86,89,504,2,1,primitive,1,86,"(8,36,42) ; (9,21,56)"
86,43,240,2,1,scaled,2,43,"(8,30,48) ; (10,16,60)"
86,43,198,2,1,primitive,1,86,"(6,36,44) ; (9,11,66)"
86,37,140,2,1,primitive,1,86,"(5,21,60) ; (8,8,70)"
87,9,55,2,1,primitive,1,87,"(9,33,45) ; (10,22,55)"
87,61,315,2,1,primitive,1,87,"(7,35,45) ; (9,15,63)"
88,61,468,2,1,primitive,1,88,"(13,36,39) ; (18,18,52)"
88,5,26,2,1,primitive,1,88,"(7,39,42) ; (10,13,65)"
89,43,252,2,1,primitive,1,89,"(9,24,56) ; (12,14,63)"
